ID,WIKI_ID,DEATH_DATE,BIRTH_DATE,AGE
9ef659a6b9c6580672f49eeb1099503e,Q333543,,1970-03-02,53
48954bd17bc6a06985e5e328a2f06329,Q2636853,,1942-03-15,81
62b19f072e9b2caa22a4cd160f305689,Q106555,2017-10-09,1930-04-29,87
88f16faa9076ffc2bd959b08be9f3e40,Q8014928,1995-11-03,1917-03-28,78
d129a9ecf2ba84d58dffca89eb1481d6,Q57242747,,1942-07-25,81
8957e719309c8984d8485e8ea80c1691,Q6261837,2014-05-24,1932-05-11,82
b4e10a68d4909cf47726823175df5cf5,Q1585876,2005-11-18,1913-03-03,92
3a42e216213603004791fd20d8e98642,Q19878136,,1954-05-18,69
18ecbd9dd701149c9f9b69198b556d42,Q4935641,2010-08-16,1923-10-25,86
ff09861f1aca5b8ac9601df9110a8a85,Q163813,,1934-01-04,90
de3c30f63020e1f807b4990af1197e9c,Q86754335,2007-10-10,1942-07-04,65
cdc65f7ba9d9432b0220a237f37c3227,Q9364,1980-04-15,1905-06-21,74
0c042306806bc95255494fb799b1dd1d,Q228598,,1991-02-10,32
36d4f945ba124c92ecd55b63e171521c,Q2078864,2005-05-07,1909-06-07,95
4492ccac533e06428a36c3ff347b44d6,Q779151,,1960-02-07,63
3ea98a5d7f61e0bd025ab9a9e9b2e229,Q2587411,1995-07-16,1912-05-03,83
a825efec99c42083199e16931e3256fc,Q190162,,1978-06-19,45
1fca8ff9e2052d608086cb577d5798b2,Q600,,1973-10-22,50
00aa836035ce8cab15dcd70a4b61a2c3,Q6278281,,1950-10-17,73
39f9a44a88f1db6307016afc51e79487,Q524704,,1964-12-27,59
901ed6ac9864b888335e89bcb02ad5ca,Q3246861,2019-03-07,1935-01-14,84
147e96e1b1326e2ddc156212adfdf324,Q706931,1990-09-07,1906-03-25,84
4ccf99e072c8735cebefba17a08437af,Q191828,,1964-12-04,59
ae42ef63044bb8b56e18b6cd16c7753c,Q244441,2014-01-27,1919-05-03,94
fba7486f60e6ce2fe2d6d68191dc7f50,Q1699735,1978-07-10,1906-03-21,72
975be3ab03c425644d7bf08bc998f5e3,Q5322084,1989-05-14,1901-01-29,88
b6c7334969abfc9c44087bc146d32189,Q237499,1975-11-05,1909-12-14,65
91ada8895a617b273f0e1f84d4f23292,Q11100,,1956-07-31,67
a0ed699a7218aa2b4b3ce3a16ddbc2a9,Q934270,1973-10-06,1915-06-23,58
b16453c190a3d76cf17809d5f3008660,Q728362,,1949-04-26,74
0e4165a40ca0d8a6ef731e1acb3c9579,Q154216,,1948-07-21,75
5e612d5fb99a61f9f77daef6b66b4655,Q6769527,2023-03-30,1932-08-23,90
ce9d8d73524f8fb8ee9f6e33967ec8a6,Q358350,1985-11-24,1911-05-18,74
2ecb82cfae46eaf1a9fbcad02b205ca0,Q255553,,1984-09-01,39
8ed2d17bfd9d103b09cbc7613828971b,Q1399557,2022-07-08,1923-01-08,99
0573b75e01839a6af0cf2d1300cc65ef,Q62681,,1973-04-28,50
0dfb78f82affbd1741991044311e3ba1,Q507495,,1967-02-20,56
f7ddee1cfbefb264a9b154f1dcf55d74,Q711954,1999-11-13,1910-07-11,89
5a60247a29007a0aef4493f600684aa9,Q3523180,,1947-01-01,77
0771975137ebb63a73d042f934520b06,Q1209818,,1936-10-30,87
25aa9e8c32d8be2efde4523949c009dc,Q259379,,1981-06-09,42
5d749b66f2cc6d030b440f5c78dd5f8b,Q255800,1952-10-23,1921-07-03,31
7ae5b3648f1efdd9b3b183933ee660de,Q963117,1999-11-01,1954-07-25,45
65a42d41b91dbe68fdf25bae421d09fc,Q976176,,1948-07-02,75
b24f512a5063c774cb7c3d5e08277fc0,Q365567,2016-08-22,1922-04-29,94
96a722cea2e075fb9f7269f905656b95,Q2623441,,1968-07-07,55
67767abca043c4e2bebaf80fb4e24e4a,Q294819,,1975-08-22,48
